,year,name,movie,genre,age
12,1992,Mary McDonnell,Passion Fish,F,
13,1992,Michelle Pfeiffer,Love Field,F,
14,1992,Susan Sarandon,Lorenzo's Oil,F,
15,1993,Holly Hunter ‡,The Piano,F,
16,1993,Angela Bassett,What's Love Got to Do with It,F,
17,1993,Stockard Channing,Six Degrees of Separation,F,
18,1993,Emma Thompson,The Remains of the Day,F,
19,1993,Debra Winger,Shadowlands,F,
20,1994,Jessica Lange ‡,Blue Sky,F,
21,1994,Jodie Foster,Nell,F,
22,1994,Miranda Richardson,Tom & Viv,F,
23,1994,Winona Ryder,Little Women,F,
24,1994,Susan Sarandon,The Client,F,
25,1995,Susan Sarandon ‡,Dead Man Walking,F,
26,1995,Elisabeth Shue,Leaving Las Vegas,F,
27,1995,Sharon Stone,Casino,F,
28,1995,Meryl Streep,The Bridges of Madison County,F,
29,1995,Emma Thompson,Sense and Sensibility,F,
30,1996,Frances McDormand ‡,Fargo,F,
31,1996,Brenda Blethyn,Secrets & Lies,F,
32,1996,Diane Keaton,Marvin's Room,F,
33,1996,Kristin Scott Thomas,The English Patient,F,
34,1996,Emily Watson,Breaking the Waves,F,
35,1997,Helen Hunt ‡,As Good as It Gets,F,
36,1997,Helena Bonham Carter,The Wings of the Dove,F,
37,1997,Julie Christie,Afterglow,F,
38,1997,Judi Dench,Mrs Brown,F,
39,1997,Kate Winslet,Titanic,F,
40,1998,Gwyneth Paltrow ‡,Shakespeare in Love,F,
41,1998,Cate Blanchett,Elizabeth,F,
42,1998,Fernanda Montenegro,Central Station,F,
43,1998,Meryl Streep,One True Thing,F,
44,1998,Emily Watson,Hilary and Jackie,F,
45,1999,Hilary Swank ‡,Boys Don't Cry,F,
46,1999,Annette Bening,American Beauty,F,
47,1999,Janet McTeer,Tumbleweeds,F,
48,1999,Julianne Moore,The End of the Affair,F,
49,1999,Meryl Streep,Music of the Heart,F,
0,2000,Julia Roberts ‡,Erin Brockovich,F,
1,2000,Joan Allen,The Contender,F,
2,2000,Juliette Binoche,Chocolat,F,
3,2000,Ellen Burstyn,Requiem for a Dream,F,
4,2000,Laura Linney,You Can Count on Me,F,
5,2001,Halle Berry ‡,Monster's Ball,F,
6,2001,Judi Dench,Iris,F,
7,2001,Nicole Kidman,Moulin Rouge!,F,
8,2001,Sissy Spacek,In the Bedroom,F,
9,2001,Renée Zellweger,Bridget Jones's Diary,F,
10,2002,Nicole Kidman ‡,The Hours,F,
11,2002,Salma Hayek,Frida,F,
12,2002,Diane Lane,Unfaithful,F,
13,2002,Julianne Moore,Far from Heaven,F,
14,2002,Renée Zellweger,Chicago,F,
15,2003,Charlize Theron ‡,Monster,F,
16,2003,Keisha Castle-Hughes,Whale Rider,F,
17,2003,Diane Keaton,Something's Gotta Give,F,
18,2003,Samantha Morton,In America,F,
19,2003,Naomi Watts,21 Grams,F,
20,2004,Hilary Swank ‡,Million Dollar Baby,F,
21,2004,Annette Bening,Being Julia,F,
22,2004,Catalina Sandino Moreno,Maria Full of Grace,F,
23,2004,Imelda Staunton,Vera Drake,F,
24,2004,Kate Winslet,Eternal Sunshine of the Spotless Mind,F,
25,2005,Reese Witherspoon ‡,Walk the Line,F,
26,2005,Judi Dench,Mrs Henderson Presents,F,
27,2005,Felicity Huffman,Transamerica,F,
28,2005,Keira Knightley,Pride & Prejudice,F,
29,2005,Charlize Theron,North Country,F,
30,2006,Helen Mirren ‡,The Queen,F,
31,2006,Penélope Cruz,Volver,F,
32,2006,Judi Dench,Notes on a Scandal,F,
33,2006,Meryl Streep,The Devil Wears Prada,F,
34,2006,Kate Winslet,Little Children,F,
35,2007,Marion Cotillard ‡,La Vie en Rose,F,
36,2007,Cate Blanchett,Elizabeth: The Golden Age,F,
37,2007,Julie Christie,Away from Her,F,
38,2007,Laura Linney,The Savages,F,
39,2007,Elliot Page[D],Juno,F,
40,2008,Kate Winslet ‡,The Reader,F,
41,2008,Anne Hathaway,Rachel Getting Married,F,
